ID,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,total_days_stayed
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
162,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
144,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
151,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
166,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
136,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3
110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
106,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4
85,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4
118,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
105,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,5
109,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
121,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5
47,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
89,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6
19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
176,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,6
35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6
113,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7
