ID,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,total_days_stayed,long_term_homeless
23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,False
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,8,False
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,False
53,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,False
37,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,9,False
97,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,False
157,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,False
26,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,10,False
100,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,False
135,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,3,1,1,0,10,False
41,0,0,0,1,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,10,False
127,3,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,False
11,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,12,False
94,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,2,2,0,12,False
139,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,2,0,0,12,False
52,0,0,0,0,0,0,0,0,0,2,3,2,3,0,2,1,0,0,0,13,False
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13,False
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13,False
32,0,0,0,0,2,2,5,1,0,4,0,0,0,0,0,0,0,0,0,14,False
103,0,0,0,0,0,0,0,0,2,6,2,3,1,0,0,0,0,0,0,14,False
123,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,2,0,0,14,False
12,0,0,0,0,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,14,False
72,0,1,1,0,0,0,0,0,0,6,0,2,5,1,0,0,0,0,0,16,False
147,0,0,0,3,0,0,2,0,1,2,0,0,0,2,2,3,1,1,0,17,False
163,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,6,18,False
129,0,0,0,0,0,0,0,1,4,7,6,1,0,0,0,0,0,0,0,19,False
167,0,0,0,0,0,0,0,7,7,4,1,0,0,0,0,0,0,0,0,19,False
13,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,0,0,0,0,19,False
161,0,0,0,0,0,0,0,0,0,3,0,0,5,4,2,5,0,0,0,19,False
152,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,3,19,False
150,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,19,False
83,0,0,2,2,1,1,7,0,0,3,1,0,1,0,0,0,1,0,0,19,False
74,5,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,False
143,0,0,0,0,0,0,0,0,0,3,3,4,4,1,3,0,1,0,0,19,False
34,1,1,2,1,3,1,0,2,3,1,1,0,0,1,0,1,2,1,0,21,False
39,0,0,0,0,0,0,0,3,7,7,2,0,1,0,1,0,0,0,0,21,False
50,0,0,0,0,0,0,0,0,0,0,1,5,6,6,3,0,0,0,0,21,False
14,0,0,0,0,0,0,0,0,0,5,3,6,3,3,0,1,0,0,0,21,False
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,6,23,False
62,0,6,6,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,24,False
33,0,0,2,0,6,3,6,3,0,3,0,0,0,0,1,0,0,0,0,24,False
42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,6,24,False
104,0,0,0,0,0,0,0,0,0,0,6,7,6,4,1,0,0,0,0,24,False
66,4,2,6,5,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,25,False
182,0,0,0,0,1,7,7,7,0,3,0,0,0,0,0,0,0,0,0,25,False
126,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,4,5,6,25,False
124,6,3,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,False
49,0,0,4,4,1,2,2,0,1,2,2,0,0,1,2,0,5,1,0,27,False
93,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,False
153,0,0,5,4,5,7,5,3,0,0,0,0,0,0,0,0,0,0,0,29,False
119,0,0,0,0,0,0,0,0,0,6,6,6,4,4,3,3,0,0,0,32,False
178,0,0,0,0,2,0,0,0,0,2,2,2,1,5,1,5,3,3,6,32,False
92,0,0,0,0,0,0,0,0,0,0,0,5,4,5,7,4,5,2,0,32,False
140,0,0,0,0,0,0,0,0,5,1,4,5,3,3,2,4,3,2,2,34,True
185,0,0,0,0,1,5,5,2,2,2,3,3,4,4,5,0,1,1,0,38,True
95,0,2,6,7,7,3,4,7,2,0,0,0,0,0,0,0,0,0,0,38,True
15,0,0,0,0,0,7,6,2,2,4,3,4,4,2,3,1,1,1,0,40,True
111,6,2,0,3,3,4,1,7,4,3,4,1,2,1,1,0,0,0,0,42,True
30,0,0,0,0,0,0,0,0,0,6,5,6,7,6,3,0,6,4,0,43,True
59,0,0,0,0,0,0,0,2,0,7,4,7,5,7,3,6,2,1,0,44,True
171,1,0,0,0,1,7,7,7,6,5,1,5,4,0,0,0,0,0,0,44,True
168,6,5,5,6,7,7,7,1,5,3,0,0,0,0,0,0,0,0,0,52,True
10,0,0,0,0,0,7,7,3,0,7,7,7,7,0,0,0,0,0,0,45,True
24,0,0,0,0,0,1,5,1,3,6,2,3,2,4,6,4,3,6,0,46,True
86,0,0,0,4,6,0,0,0,0,0,0,2,0,1,7,7,7,7,5,46,True
81,0,5,3,4,3,4,5,4,2,5,0,1,0,0,2,4,2,2,1,47,True
40,1,0,0,2,6,7,7,7,4,5,2,5,0,1,0,0,0,0,0,47,True
187,0,0,0,0,0,0,0,0,0,4,4,7,5,7,5,7,7,2,0,48,True
155,0,0,0,0,1,7,7,5,7,7,2,2,2,5,1,3,0,0,0,49,True
63,0,0,2,5,7,6,5,7,6,7,4,0,0,0,0,0,0,0,0,49,True
130,0,0,5,7,7,0,0,4,4,4,6,1,5,7,2,0,0,0,0,52,True
22,5,4,2,0,0,0,0,0,0,2,2,3,6,7,2,1,5,7,6,52,True
158,0,0,0,1,1,1,2,0,6,0,4,6,4,3,6,6,6,2,0,48,True
137,4,5,5,5,5,7,7,7,4,3,0,0,2,2,0,0,2,0,0,58,True
44,5,3,4,3,5,5,7,7,3,4,6,7,6,0,0,0,0,0,0,65,True
75,6,1,1,0,0,0,0,0,7,7,7,6,6,7,6,6,3,2,0,65,True
38,0,0,0,0,4,5,7,7,0,5,5,2,6,6,7,6,6,1,0,67,True
67,0,0,4,7,3,4,2,3,7,6,7,3,5,4,4,3,2,2,3,69,True
28,0,0,0,0,0,2,6,6,7,5,4,1,4,5,6,7,6,7,6,72,True
6,0,0,0,0,6,6,4,6,6,5,2,4,3,3,5,7,6,6,3,72,True
2,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,5,76,True
3,1,0,3,0,7,5,2,3,5,5,5,7,7,7,5,5,7,2,0,76,True
77,6,7,7,7,7,7,7,7,7,6,1,0,5,0,0,0,2,0,0,76,True
88,0,0,0,0,1,6,7,7,5,5,7,7,7,6,2,7,5,2,3,77,True
107,0,0,7,4,7,7,7,5,7,4,6,2,0,0,0,4,5,7,6,78,True
138,2,5,7,5,3,4,6,3,2,5,5,5,1,6,6,6,3,4,6,84,True
70,0,0,0,0,6,7,7,4,3,7,6,6,7,7,6,7,5,5,2,85,True
125,1,1,3,7,2,0,5,7,7,7,5,5,2,6,5,3,6,7,6,85,True
76,0,0,0,0,1,4,7,7,6,7,7,7,5,7,7,7,7,6,0,85,True
173,0,0,5,7,6,5,6,4,5,5,5,5,6,3,7,7,7,4,0,87,True
64,1,0,4,5,6,4,5,7,6,6,6,6,3,7,5,7,5,2,3,88,True
101,6,6,6,7,6,7,7,6,6,5,4,4,5,5,3,2,1,1,2,89,True
112,0,2,7,7,7,7,7,7,7,7,7,7,6,5,2,2,2,2,0,91,True
169,0,2,5,5,7,7,7,7,7,7,6,7,7,7,4,6,2,2,0,95,True
48,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0,0,106,True
133,0,4,5,5,5,5,6,1,6,7,7,7,7,7,7,7,7,7,7,107,True
55,5,5,7,2,5,6,6,7,7,6,6,7,7,6,3,7,5,7,6,110,True
116,3,5,7,7,7,7,7,7,5,5,7,7,7,7,4,6,4,4,4,110,True
91,6,2,2,1,4,7,7,7,7,7,7,4,5,7,6,7,6,7,6,105,True
60,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,0,113,True
5,6,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7,6,2,0,116,True
177,0,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6,121,True
160,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,6,128,True
